datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-12-10,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-11,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-12,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-13,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-14,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-17,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-18,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-19,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-20,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-21,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-24,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-26,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-27,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-28,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1990-12-31,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-02,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-03,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-04,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-07,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-08,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-09,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-10,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-11,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-14,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-15,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-16,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-17,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-18,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-21,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-22,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-23,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-24,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-25,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-28,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-29,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-30,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-01-31,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-02-01,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-02-04,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-02-05,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-02-06,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-02-07,0.0,9987.6714,2.6,9987.6714,0.0,0.9987671399999999,0.0014926899999997412
1991-02-08,43.7011,9944.2213,3.9000000000000004,9987.9224,2.5130982983734285e-05,0.9987922399999999,0.001467589999999741
1991-02-11,44.7959,9944.2213,3.9000000000000004,9989.017199999998,0.00010961238545448282,0.9989017199999997,0.001358109999999968
1991-02-12,43.7923,9944.2213,3.9000000000000004,9988.013599999998,-0.00010047034457005832,0.9988013599999996,0.0014584699999999895
1991-02-13,43.7923,9944.2213,3.9000000000000004,9988.013599999998,0.0,0.9988013599999996,0.0014584699999999895
1991-02-14,41.693999999999996,9944.2213,3.9000000000000004,9985.915299999999,-0.000210081812463625,0.9985915299999997,0.001668299999999956
